ts,symbol,tf,action,price,size,fee,pnl,reasons,reason,confidence,urgency
2025-06-18 03:00:00+00:00,BTCUSD_1H,1H,enter_long,105281.295355,0.4753,50.040199682231496,0.0,2.0,,,
2025-06-18 04:00:00+00:00,BTCUSD_1H,1H,enter_long,105553.705909,0.474,50.032456600866,0.0,2.0,,,
2025-06-18 05:00:00+00:00,BTCUSD_1H,1H,enter_long,105511.756565,0.4742,50.033674963123,0.0,2.0,,,
2025-06-18 18:00:00+00:00,BTCUSD_1H,1H,enter_short,103569.310698,0.4824,49.9618354807152,0.0,2.0,,,
2025-06-18 19:00:00+00:00,BTCUSD_1H,1H,enter_short,103745.996931,0.4816,49.9640721219696,0.0,2.0,,,
2025-06-18 20:00:00+00:00,BTCUSD_1H,1H,enter_long,104913.95839900001,0.4769,50.0334667604831,0.0,2.0,,,
2025-06-18 21:00:00+00:00,BTCUSD_1H,1H,enter_long,105190.29169700001,0.4757,50.039021760262905,0.0,2.0,,,
2025-06-18 22:00:00+00:00,BTCUSD_1H,1H,enter_long,104928.668689,0.4768,50.029989230915206,0.0,2.0,,,
2025-06-18 23:00:00+00:00,BTCUSD_1H,1H,enter_long,104989.04092,0.4766,50.037776902472004,0.0,2.0,,,
2025-06-19 00:00:00+00:00,BTCUSD_1H,1H,enter_long,105069.467179,0.4762,50.0340802706398,0.0,2.0,,,
2025-06-19 03:00:00+00:00,BTCUSD_1H,1H,enter_long,105203.500937,0.4756,50.0347850456372,0.0,2.0,,,
2025-06-19 04:00:00+00:00,BTCUSD_1H,1H,enter_long,105183.366853,0.4757,50.0357276119721,0.0,2.0,,,
2025-06-19 05:00:00+00:00,BTCUSD_1H,1H,enter_long,104992.573391,0.4766,50.0394604781506,0.0,2.0,,,
2025-06-19 09:00:00+00:00,BTCUSD_1H,1H,enter_long,105099.298046,0.4761,50.037775799700604,0.0,2.0,,,
2025-06-19 10:00:00+00:00,BTCUSD_1H,1H,enter_long,105015.299288,0.4765,50.03979011073199,0.0,2.0,,,
2025-06-19 11:00:00+00:00,BTCUSD_1H,1H,enter_long,104875.76168,0.4771,50.036225897528,0.0,2.0,,,
2025-06-19 16:00:00+00:00,BTCUSD_1H,1H,enter_short,103961.026305,0.4806,49.963669242183,0.0,2.0,,,
2025-06-19 19:00:00+00:00,BTCUSD_1H,1H,enter_short,104196.571308,0.4795,49.962255942186,0.0,2.0,,,
2025-06-20 01:00:00+00:00,BTCUSD_1H,1H,enter_long,104881.335579,0.4771,50.03888520474091,0.0,2.0,,,
2025-06-20 07:00:00+00:00,BTCUSD_1H,1H,enter_long,105912.076593,0.4724,50.032864982533205,0.0,2.0,,,
